Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
20170428104711979158e6310-8829-481f-9728-d93ce39c5992,NeverHillary_BC,NeverHillary,neverhillary,1216,97279,3134,407,ORGANIZED,POLITICAL	TRUMP	
201704281048107670e577636-bf4d-4150-8fe7-9d5c4be741d4,NeverHillary_BC,NeverHillary,neverhillary,1317,93055,3462,384,ORGANIZED,POLITICAL	TRUMP	
2017042810482573198e4679f-f5b1-4514-8f8d-17beed27191c,NeverHillary_BC,NeverHillary,neverhillary,1286,87974,3447,367,ORGANIZED,POLITICAL	TRUMP	
201704281049202286c1ca65c-d700-48d2-a4ea-f986f5258923,NeverHillary_BC,NeverHillary,neverhillary,1230,82355,3089,362,ORGANIZED,POLITICAL	TRUMP	
201704281051068549afbc748-ef3e-4069-b549-e0c3abd62cb4,NeverHillary_BC,NeverHillary,neverhillary,1318,84765,3801,374,ORGANIZED,POLITICAL	TRUMP	
20170428105148128e249e16f-0a46-4709-b164-d8567c19b96a,NeverHillary_BC,NeverHillary,neverhillary,1175,83342,3053,353,ORGANIZED,POLITICAL	TRUMP	
2017042810522118ce00ca9d-c909-4860-bd16-af1997650454,NeverHillary_BC,NeverHillary,neverhillary,1169,85110,2726,375,ORGANIZED,POLITICAL	TRUMP	
20170428105334635b9530759-c8c5-431b-b596-1a7054114656,NeverHillary_BC,NeverHillary,neverhillary,1169,94790,3678,384,ORGANIZED,POLITICAL	TRUMP	
201704281054462490e772ff3-e426-48b0-9522-7feb4c5d6b95,NeverHillary_BC,NeverHillary,neverhillary,1239,84553,3515,378,ORGANIZED,POLITICAL	TRUMP	
20170428105506291dc70464a-0108-4421-915a-09851a5c84cf,NeverHillary_BC,NeverHillary,neverhillary,1267,92556,3641,394,ORGANIZED,POLITICAL	TRUMP	
20170428105516573c5780f39-0947-42e3-96ca-1c1398d7d6d2,NeverHillary_BC,NeverHillary,neverhillary,1265,97740,3897,375,ORGANIZED,POLITICAL	TRUMP	
20170428105630922fa4a0f05-53bf-4790-8473-1640954bf8af,NeverHillary_BC,NeverHillary,neverhillary,1303,109044,3627,391,ORGANIZED,POLITICAL	TRUMP	
201704281057149941a486762-b905-4f0c-9c8e-43b2e141842c,NeverHillary_BC,NeverHillary,neverhillary,1267,94915,3645,378,ORGANIZED,POLITICAL	TRUMP	
20170428105828421640b79ca-23f3-43c7-998f-ca9d5151f997,NeverHillary_BC,NeverHillary,neverhillary,1026,94963,2745,349,ORGANIZED,POLITICAL	TRUMP	
20170428105844604ed1cb27a-620e-40c4-8bf4-c123808d2df4,NeverHillary_BC,NeverHillary,neverhillary,1138,91889,3333,338,ORGANIZED,POLITICAL	TRUMP	
2017042810593629551de6cfa-309d-46a2-8ef3-c6dd3beaedb4,NeverHillary_BC,NeverHillary,neverhillary,1402,102624,3738,382,ORGANIZED,POLITICAL	TRUMP	
2017042811001428486546f9d-e6c0-4977-ac54-4143f01ea0a6,NeverHillary_BC,NeverHillary,neverhillary,1306,89945,4329,351,ORGANIZED,POLITICAL	TRUMP	
2017042811004599672d9550a-3b96-42b6-9989-65bccbd8c8ba,NeverHillary_BC,NeverHillary,neverhillary,1346,91442,4185,367,ORGANIZED,POLITICAL	TRUMP	
201704281101466600b32a7cd-2802-48ba-9744-a76a81df942e,NeverHillary_BC,NeverHillary,neverhillary,1193,96007,3775,351,ORGANIZED,POLITICAL	TRUMP	
20170428110247133dfc6b50f-da9d-4e3a-9463-ebe33af287f3,NeverHillary_BC,NeverHillary,neverhillary,953,94094,2807,346,ORGANIZED,POLITICAL	TRUMP	
2017042811030419010b951df-bd15-4797-893b-783ec5b565cf,NeverHillary_BC,NeverHillary,neverhillary,1189,87514,3556,337,ORGANIZED,POLITICAL	TRUMP	
20170428110349952180dc22d-b2d9-4031-bb80-1439bd1ee430,NeverHillary_BC,NeverHillary,neverhillary,1142,90248,3618,302,ORGANIZED,POLITICAL	TRUMP	
20170428110403147acc98aa4-2206-4481-86ca-2c535d0faa98,NeverHillary_BC,NeverHillary,neverhillary,1250,100146,3733,342,ORGANIZED,POLITICAL	TRUMP	
201704281106206280a086229-cb29-4e87-b59b-65dd320b825f,NeverHillary_BC,NeverHillary,neverhillary,1381,100275,4069,349,ORGANIZED,POLITICAL	TRUMP	
