Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
20170301090432508e1757fa8-aa6f-4177-b753-13b299ca1c98,AcademyAwards,Oscars2,academyawards,3427,964337,6614,2625,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017030109043714490f15c21-36c9-40ba-8316-190822954d4c,AcademyAwards_BC,Oscars2,academyawards,3271,992375,6347,2584,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301090440417de612681-b312-4ddc-bff9-7eeedf742e80,AcademyAwards_BC,Oscars2,academyawards,708,193740,1120,494,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201703010904578933375069f-60aa-49fa-bbfe-e4f6c2b8fe72,Oscarsmistake,Oscars2,oscarsmistake,426,112282,402,399,ORGANIC_T,

201703010907436267f04912e-79f5-43b2-a069-2ea45fb83ee1,Oscarfail,Oscars2,oscarfail,2111,749748,2152,1507,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301090832913d9f66cd8-3eac-4a3f-ab93-2f01ed9a27e9,WarrenBeatty,WarrenBeatty,warrenbeatty,727,205281,847,663,ORGANIC_T,

2017030109090070094031b98-cfec-4ba2-92df-128acff6bc29,Oscars,Oscars,oscars,13045,1128369,85051,2748,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301090903902719e0449-3d09-4959-a21f-5276b322eac0,Oscars_BC,Oscars,oscars,14218,1113894,88622,2732,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170301090906889eeed019d-da46-46fd-9eed-0d8271f4b27f,Oscars_BC,Oscars,oscars,14231,1160495,89550,2725,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

