hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
policebrutality,0.5112109388156354,0.014162645224759296,0.11900691250830472,0.06341463414634146,0.7104421322019059
ЛюбимаяНашаСтрана,0.45669796812341107,0.03342410956276453,0.18282261775492803,0.09479166666666666,0.8120204603580563
школа,0.595242336882531,0.0706682422726524,0.26583499068529787,0.10365853658536585,0.9921707503828484
энергетика,0.49799239016567365,0.041392623116318826,0.2034517709834909,0.2593562874251497,0.897970378496983
امريكا,0.2663131683212604,0.005534486444116372,0.07439412909710263,0.17558886509635974,0.36889387984278493
2016Election,0.5048670112989561,0.007863313029675743,0.08867532367956568,0.2753441802252816,0.9989403973509934
BlackPickupLines,0.5180229821380349,0.00712453524693965,0.084406962076239,0.19055118110236222,0.6924979389942292
CharlieHebdo,0.43994340190383124,0.05408552531642705,0.2325629491480254,0.06818181818181818,0.9999193541883402
DemDebate,0.5000089494721306,0.015676756769078995,0.12520685591883135,0.10526315789473684,1.0
ItsSoWhiteOutsideThat,0.5560463203889647,0.0047538323107468,0.06894804065922976,0.36597938144329895,0.6922714420358153
MarkTwain,0.3831307883587796,0.030030132558009813,0.17329204412785318,0.09032258064516129,1.0
NewMeaningsForEmojis,0.5123729398977869,0.005986167816082274,0.07737032904209645,0.37908820614469774,0.6671306955078439
Sonntag,0.4047840928340642,0.018057512996004294,0.13437824599243842,0.07493857493857493,0.6877403201287668
WeWantOneDirectionNominatedForTheVMAs,0.3735522926940411,0.027527258969393845,0.16591340804586543,0.12577319587628866,1.0
doylis,0.042490118577075096,0.0,0.0,0.042490118577075096,0.042490118577075096
foodpoisoning,0.4488406612306017,0.01486637978772274,0.12192776463022169,0.12121212121212122,0.7532467532467533
imo,0.21275539627095558,5.799157797280725E-4,0.024081440565881282,0.18867395570507428,0.23683683683683684
reallifemagicspells,0.4983730039539897,0.008385913103168186,0.09157463132968752,0.347242206235012,0.6922714420358153
valentinesdayin3words,0.5488300656464113,0.0028840805123922916,0.05370363593270284,0.45478069607969984,0.6922714420358153
МойГерой,0.4903778354610658,0.0479878093670926,0.21906120004942134,0.09863013698630137,0.9989403973509934
Моёмнение,0.4430385734134746,0.04124562359778265,0.203090185872638,0.06060606060606061,0.940623367577921
ПамятиКаддафи,0.35914133973137036,0.047382545729895045,0.21767532182104393,0.0,0.9989403973509934
Узловая,0.7209421831793075,6.828257834845955E-7,8.263327317035163E-4,0.720115850447604,0.721768515911011
روسيا,0.505597298914884,0.1057411327543375,0.3251786166929454,0.17558886509635974,1.0
CherylLynn,0.5413299909005798,0.002104221747452718,0.04587179686313496,0.4756198347107438,0.6924979389942292
Libtards,0.48790369528672234,0.019257314066042155,0.13877072481630323,0.18867395570507428,0.9120477928974444
MSM,0.45316472947446185,0.027920932254192465,0.1670955782005989,0.042490118577075096,0.9655172413793104
OffendEveryoneIn4Words,0.9120477928974444,0.0,0.0,0.9120477928974444,0.9120477928974444
МОЖАЙСКАЯвАктивномПоиске,0.40123328800394203,0.02300956560541721,0.15168904246984094,0.19491525423728814,0.9345406338327622
Новосибирск,0.4717481336325012,0.06506352265909862,0.2550755234417811,0.11512605042016806,0.9962362478286045
Россия,0.4487335617170987,0.05143619984768953,0.22679550226512327,0.0,1.0
1A,0.5034667389737573,0.014216826225225332,0.11923433324854604,0.18181818181818182,0.9120477928974444
8марта,0.5309542755293181,0.06972786891467535,0.2640603508947819,0.09680284191829484,1.0
AMAs,0.43323317148908685,0.029641550145994216,0.17216721565383525,0.07988165680473373,0.9120477928974444
ChemicalAccidentLouisiana,0.37551003516433074,0.0340383417099114,0.1844948284096641,0.0,1.0
NSA,0.5302571053664867,0.022455169123615514,0.14985048923382105,0.030303030303030304,1.0
TrueBlood,0.3925895967223574,0.029527634481457846,0.17183606862779957,0.13013698630136986,1.0
World,0.37615023352141247,0.03895186438420906,0.1973622668703647,0.0,1.0
Yemen,0.5762782410496656,0.03262638064386528,0.18062774051586117,0.1297099794473624,1.0
crazy,0.47196299768181404,0.01783569902993741,0.1335503613995013,0.1540880503144654,0.9120477928974444
goodday,0.3694450433308831,0.04109009531567898,0.20270691975282684,0.0,1.0
instagram,0.5590377611126484,0.06962566348511622,0.26386675327732406,0.19347319347319347,0.9979812809689851
НапишиДругуПривет,0.5086858058523753,0.0672604081904474,0.2593461165902574,0.09680284191829484,0.9796803802297949
СпартакЗенит,0.4349802776155319,0.04453456128861366,0.2110321333082089,0.08915304606240713,0.9796803802297949
امريكا,0.3351769022952576,0.0386315235296454,0.19654903594178577,0.17558886509635974,0.7132125497127707
Bergfest,0.47225380599930294,0.01782122483343977,0.1334961603696517,0.23626943005181347,0.6877403201287668
Berkeley,0.4828809608406552,0.032079472332532215,0.1791074323765829,0.1268910157456005,0.9120477928974444
Burkaverbot,0.5115845353238845,0.009963085087921878,0.09981525478563824,0.38176197836166925,0.6877403201287668
DumpTrump,0.5470976389983857,0.008139235611040338,0.09021771229110356,0.2,0.9120477928974444
MikeBrown,0.5175303785812052,0.012305896701660374,0.11093194626283438,0.11640953716690042,0.9120477928974444
amelin,0.19019933554817275,0.0,0.0,0.19019933554817275,0.19019933554817275
Донецк,0.45202046554118297,0.047806951179633454,0.21864800749065483,0.09680284191829484,0.9989403973509934
Красноярск,0.6017721967802858,0.06866721324181581,0.26204429633521087,0.22326674500587543,0.9989403973509934
15,0.7453330369924627,0.038217747880378856,0.1954936006123445,0.38094393186657205,0.9999193541883402
54,0.7589921219959995,0.03378249448602996,0.183800148220914,0.4991335498245256,0.9999193541883402
BlackLivesmatter,0.5516809568131885,0.004788116500525013,0.06919621738595985,0.34096594188955165,0.7104421322019059
DACA,0.5789661113870013,0.023689725109045812,0.15391466827123987,0.3482080924855491,1.0
GeorgeStrait,0.43744115410827905,0.028787700934590564,0.16966938714626914,0.07514450867052024,1.0
How2016CanRedeemItself,0.5584168875488531,0.013807654777618932,0.11750597762505077,0.435976195047034,0.9120477928974444
MSM,0.4481778319322017,0.03557724065741416,0.18861930086132267,0.0,0.9843918191603875
Minnesota,0.4987000461321709,0.035764098246009915,0.189113982153647,0.0,0.9120477928974444
Outnumbered,0.5030568904611485,0.01270646165424417,0.11272294200491828,0.18867395570507428,0.9120477928974444
ProbableTrumpsTweets,0.5418235802533509,0.002783876011042868,0.0527624488726866,0.43867192165293206,0.6922714420358153
SecondhandGifts,0.5446533912228467,0.003629863503849465,0.06024834855703071,0.43867192165293206,0.7778378325258699
blackowned,0.5408944321778991,0.005814827195852994,0.07625501423416689,0.19055118110236222,0.6902654867256637
glukoza,0.4179174121051041,0.02882685264574032,0.16978472441812992,0.17210682492581603,0.7973316391359594
ВОВ,0.5814739449279522,0.08445535262543796,0.29061203110924017,0.12433478471214321,1.0
Матвиенко,0.6085607268076119,0.058347971873285456,0.24155324852563143,0.11724806201550388,1.0
ТеррорУПА,0.2705857039636688,0.024378912910814277,0.15613748080078108,0.0,0.5911251980982567
усталиОтВойны,0.6273917108748416,0.019699573253549353,0.14035516824666397,0.1809227579056506,0.9148336153412295
24Hrs,0.5515694143991735,0.0026573322403049228,0.05154931852415629,0.4756198347107438,0.6924979389942292
FUKUSHIMA2015,0.31861398347863695,0.03950600568368435,0.19876117750628353,0.1407563025210084,0.7692307692307693
JunkieUS,0.5009351989598618,0.00719978570935829,0.0848515510132743,0.1398176291793313,0.7411764705882353
RemainINEU,0.1897818445726589,0.011239187234082735,0.10601503305702797,0.07374631268436578,0.44258760107816714
TLOT,0.5178085175198225,0.006837870408797835,0.0826914167782717,0.347242206235012,0.9120477928974444
artist,0.5789813948460008,0.01035319344250388,0.10175064345007298,0.4756198347107438,0.9963873914345612
guns,0.5347502249370042,0.010682418513099983,0.10335578606493195,0.2753441802252816,0.9120477928974444
AmeriKKKa,0.5680366736866437,0.005142843033296205,0.07171361818578258,0.4625287356321839,0.7104421322019059
BillOReillyIsOver,0.6395900585962712,0.03756703307712674,0.19382216869369392,0.4773681754549697,0.9120477928974444
FirstLadyRuleBook,0.5507159407649767,0.0032726930096797033,0.05720745589238962,0.43867192165293206,0.6922714420358153
IGottaThinkAbout,0.558641990505711,0.0026345429385537223,0.051327798886701956,0.48012291146533514,0.6764783749308045
LastMinuteGifts2016,0.5346025947829208,0.0020128707058513313,0.04486502764795015,0.43867192165293206,0.6922714420358153
MLKDAY,0.5762396772681081,0.00990475710647174,0.09952264619910255,0.4478662560492741,0.9120477928974444
My4WordNewYearsResolution,0.5320244889466162,0.0016622010386607422,0.0407700998117584,0.43867192165293206,0.6460961898813242
MyEmmyNominationWouldBe,0.5397794035989052,0.002640541498035391,0.051386199490090635,0.43867192165293206,0.6922714420358153
